names,defaults,optim,lower,upper,modelsApproach,models,varsModels
annk_Root,,2.333848226,,,,cCycleBase,cCycleBase.annk_Root
annk_Wood,,0.001,,,,cCycleBase,cCycleBase.annk_Wood
annk_LitSlow,,39,,,,cCycleBase,cCycleBase.annk_LitSlow
annk_LitFast,,100.2640282,,,,cCycleBase,cCycleBase.annk_LitFast
annk_SoilSlow,,2,,,,cCycleBase,cCycleBase.annk_SoilSlow
annk_SoilOld,,0.04187936117,,,,cCycleBase,cCycleBase.annk_SoilOld
etaH,,0.01,,,,cCycleBase,cCycleBase.etaH
f_τ,,0.5513161752,,,,cFlow,cFlow.f_τ
kShed,,0.3102434724,,,,cFlow,cFlow.kShed
LR2ReSlp,,0.3505499978,,,,cFlow,cFlow.LR2ReSlp
Re2LRSlp,,0.2548035699,,,,cFlow,cFlow.Re2LRSlp
Q10,,1.05,,,,cTauSoilT,cTauSoilT.Q10
Wopt,,87.64241295,,,,cTauSoilW,cTauSoilW.Wopt
α,,1.092217616,,,,evaporation,evaporation.α
supLim,,0.08,,,,evaporation,evaporation.supLim
kEffExt,,0.03876686097,,,,fAPAR,fAPAR.kEffExt
εmax,,1.540382956,,,,gppPotential,gppPotential.εmax
Topt,,20.26302673,,,,gppAirT,gppAirT.Topt
ToptA,,0.114227561,,,,gppAirT,gppAirT.ToptA
ToptB,,0.4397831317,,,,gppAirT,gppAirT.ToptB
κ,,0.2969851523,,,,gppVPD,gppVPD.κ
Cκ,,3.56234979,,,,gppVPD,gppVPD.Cκ
Cm,,400,,,,gppVPD,gppVPD.Cm
q,,2.211821297,,,,gppSoilW,gppSoilW.q
θstar,,0.1,,,,gppSoilW,gppSoilW.θstar
dos_exp,,2.157427726,,,,groundWRecharge,groundWRecharge.dos_exp
YG,,0.9270441519,,,,aRespiration,aRespiration.YG
RMN,,0.07540239078,,,,aRespiration,aRespiration.RMN
Q10_RM,,2.596140537,,,,aRespirationAirT,aRespirationAirT.Q10_RM
bc,,0.02,,,,runoffBase,runoffBase.bc
k_cVegRoot,,0.001,,,,rootFraction,rootFraction.k_cVegRoot
fracRootD2SoilD,,0.8,,,,rootMaximumDepth,rootMaximumDepth.fracRootD2SoilD
β,,0.6622587189,,,,runoffSaturationExcess,runoffSaturationExcess.β
melt_T,,0.01,,,,snowMelt,snowMelt.melt_T
melt_Rn,,3,,,,snowMelt,snowMelt.melt_Rn
constantTreeFrac,,0.6458480735,,,,treeFraction,treeFraction.constantTreeFrac
WUEatOnehPa,,6.644842058,,,,WUE,WUE.WUEatOnehPa
κ,,0.2932910496,,,,WUE,WUE.κ
